"";"provincia";"sesso";"classe_eta";"popolazione_2018";"popolazione_2019"
"3556";"Latina";"totale";"65-69 anni";32211;32230
"3557";"Latina";"totale";"70-74 anni";29202;31230
"3558";"Latina";"totale";"75-79 anni";23082;22293
"3559";"Latina";"totale";"80-84 anni";17804;18574
"3560";"Latina";"totale";"85-89 anni";10499;10815
"3561";"Latina";"totale";"90-94 anni";4327;4532
"3562";"Latina";"totale";"95-99 anni";1109;1188
"3563";"Latina";"totale";"fino a 4 anni";23434;22640
"3564";"Latina";"totale";"totale";563271;562592
"3565";"Lazio";"femmine";"10-14 anni";132412;132782
"3566";"Lazio";"femmine";"100 anni e più";1154;1176
"3567";"Lazio";"femmine";"15-19 anni";127307;128331
"3568";"Lazio";"femmine";"20-24 anni";129558;128828
"3569";"Lazio";"femmine";"25-29 anni";144792;142128
"3570";"Lazio";"femmine";"30-34 anni";161929;158699
"3571";"Lazio";"femmine";"35-39 anni";187017;182057
"3572";"Lazio";"femmine";"40-44 anni";225803;215871
"3573";"Lazio";"femmine";"45-49 anni";249532;247731
"3574";"Lazio";"femmine";"5-9 anni";129538;126789
"3575";"Lazio";"femmine";"50-54 anni";252162;251163
"3576";"Lazio";"femmine";"55-59 anni";223704;232268
"3577";"Lazio";"femmine";"60-64 anni";192574;196141
"3578";"Lazio";"femmine";"65-69 anni";171293;172691
"3579";"Lazio";"femmine";"70-74 anni";161116;166236
"3580";"Lazio";"femmine";"75-79 anni";142263;137876
"3581";"Lazio";"femmine";"80-84 anni";117630;120644
"3582";"Lazio";"femmine";"85-89 anni";78059;80052
"3583";"Lazio";"femmine";"90-94 anni";36723;37673
"3584";"Lazio";"femmine";"95-99 anni";10236;10793
"3585";"Lazio";"femmine";"fino a 4 anni";110734;106590
"3586";"Lazio";"femmine";"totale";2985536;2976519
"3587";"Lazio";"maschi";"10-14 anni";140258;140876
"3588";"Lazio";"maschi";"100 anni e più";229;241
"3589";"Lazio";"maschi";"15-19 anni";136691;137314
"3590";"Lazio";"maschi";"20-24 anni";144016;143052
"3591";"Lazio";"maschi";"25-29 anni";152723;150453
"3592";"Lazio";"maschi";"30-34 anni";164028;160617
"3593";"Lazio";"maschi";"35-39 anni";185338;181335
"3594";"Lazio";"maschi";"40-44 anni";217341;208722
"3595";"Lazio";"maschi";"45-49 anni";235715;234004
"3596";"Lazio";"maschi";"5-9 anni";137330;134411
"3597";"Lazio";"maschi";"50-54 anni";236276;234945
"3598";"Lazio";"maschi";"55-59 anni";205923;214454
"3599";"Lazio";"maschi";"60-64 anni";173308;176683
"3600";"Lazio";"maschi";"65-69 anni";150612;151574
"3601";"Lazio";"maschi";"70-74 anni";135885;140492
"3602";"Lazio";"maschi";"75-79 anni";110486;107403
"3603";"Lazio";"maschi";"80-84 anni";81533;84832
"3604";"Lazio";"maschi";"85-89 anni";44364;45850
"3605";"Lazio";"maschi";"90-94 anni";15187;16037
"3606";"Lazio";"maschi";"95-99 anni";3040;3307
"3607";"Lazio";"maschi";"fino a 4 anni";117257;112579
"3608";"Lazio";"maschi";"totale";2787540;2779181
"3609";"Lazio";"totale";"10-14 anni";272670;273658
"3610";"Lazio";"totale";"100 anni e più";1383;1417
"3611";"Lazio";"totale";"15-19 anni";263998;265645
"3612";"Lazio";"totale";"20-24 anni";273574;271880
"3613";"Lazio";"totale";"25-29 anni";297515;292581
"3614";"Lazio";"totale";"30-34 anni";325957;319316
"3615";"Lazio";"totale";"35-39 anni";372355;363392
"3616";"Lazio";"totale";"40-44 anni";443144;424593
"3617";"Lazio";"totale";"45-49 anni";485247;481735
"3618";"Lazio";"totale";"5-9 anni";266868;261200
"3619";"Lazio";"totale";"50-54 anni";488438;486108
"3620";"Lazio";"totale";"55-59 anni";429627;446722
"3621";"Lazio";"totale";"60-64 anni";365882;372824
"3622";"Lazio";"totale";"65-69 anni";321905;324265
"3623";"Lazio";"totale";"70-74 anni";297001;306728
"3624";"Lazio";"totale";"75-79 anni";252749;245279
"3625";"Lazio";"totale";"80-84 anni";199163;205476
"3626";"Lazio";"totale";"85-89 anni";122423;125902
"3627";"Lazio";"totale";"90-94 anni";51910;53710
"3628";"Lazio";"totale";"95-99 anni";13276;14100
"3629";"Lazio";"totale";"fino a 4 anni";227991;219169
"3630";"Lazio";"totale";"totale";5773076;5755700
"3631";"Lecce";"femmine";"10-14 anni";17587;17155
"3632";"Lecce";"femmine";"100 anni e più";150;163
"3633";"Lecce";"femmine";"15-19 anni";18848;18883
"3634";"Lecce";"femmine";"20-24 anni";19495;19139
"3635";"Lecce";"femmine";"25-29 anni";21341;20776
"3636";"Lecce";"femmine";"30-34 anni";21468;20896
"3637";"Lecce";"femmine";"35-39 anni";24534;23665
"3638";"Lecce";"femmine";"40-44 anni";29383;28501
"3639";"Lecce";"femmine";"45-49 anni";30218;30164
"3640";"Lecce";"femmine";"5-9 anni";15913;15435
"3641";"Lecce";"femmine";"50-54 anni";32550;32194
"3642";"Lecce";"femmine";"55-59 anni";29449;30404
"3643";"Lecce";"femmine";"60-64 anni";26867;27265
"3644";"Lecce";"femmine";"65-69 anni";25858;25747
"3645";"Lecce";"femmine";"70-74 anni";24261;25422
"3646";"Lecce";"femmine";"75-79 anni";20731;19794
"3647";"Lecce";"femmine";"80-84 anni";17426;18043
"3648";"Lecce";"femmine";"85-89 anni";12420;12589
"3649";"Lecce";"femmine";"90-94 anni";5574;5802
"3650";"Lecce";"femmine";"95-99 anni";1397;1494
"3651";"Lecce";"femmine";"fino a 4 anni";13504;13109
"3652";"Lecce";"femmine";"totale";408974;406640
"3653";"Lecce";"maschi";"10-14 anni";18507;18184
"3654";"Lecce";"maschi";"100 anni e più";30;30
"3655";"Lecce";"maschi";"15-19 anni";20398;20187
"3656";"Lecce";"maschi";"20-24 anni";21310;21040
"3657";"Lecce";"maschi";"25-29 anni";22403;21795
"3658";"Lecce";"maschi";"30-34 anni";21540;21052
"3659";"Lecce";"maschi";"35-39 anni";23581;22641
"3660";"Lecce";"maschi";"40-44 anni";28579;27808
"3661";"Lecce";"maschi";"45-49 anni";28627;28785
"3662";"Lecce";"maschi";"5-9 anni";17020;16705
"3663";"Lecce";"maschi";"50-54 anni";29656;29347
"3664";"Lecce";"maschi";"55-59 anni";26631;27630
"3665";"Lecce";"maschi";"60-64 anni";23536;23947
"3666";"Lecce";"maschi";"65-69 anni";22749;22659
"3667";"Lecce";"maschi";"70-74 anni";20772;21610
"3668";"Lecce";"maschi";"75-79 anni";16278;15799
"3669";"Lecce";"maschi";"80-84 anni";11937;12485
"3670";"Lecce";"maschi";"85-89 anni";6857;7030
"3671";"Lecce";"maschi";"90-94 anni";2364;2519
"3672";"Lecce";"maschi";"95-99 anni";408;442
"3673";"Lecce";"maschi";"fino a 4 anni";14251;13830
"3674";"Lecce";"maschi";"totale";377434;375525
"3675";"Lecce";"totale";"10-14 anni";36094;35339
"3676";"Lecce";"totale";"100 anni e più";180;193
"3677";"Lecce";"totale";"15-19 anni";39246;39070
"3678";"Lecce";"totale";"20-24 anni";40805;40179
"3679";"Lecce";"totale";"25-29 anni";43744;42571
"3680";"Lecce";"totale";"30-34 anni";43008;41948
"3681";"Lecce";"totale";"35-39 anni";48115;46306
"3682";"Lecce";"totale";"40-44 anni";57962;56309
"3683";"Lecce";"totale";"45-49 anni";58845;58949
"3684";"Lecce";"totale";"5-9 anni";32933;32140
"3685";"Lecce";"totale";"50-54 anni";62206;61541
"3686";"Lecce";"totale";"55-59 anni";56080;58034
"3687";"Lecce";"totale";"60-64 anni";50403;51212
"3688";"Lecce";"totale";"65-69 anni";48607;48406
"3689";"Lecce";"totale";"70-74 anni";45033;47032
"3690";"Lecce";"totale";"75-79 anni";37009;35593
"3691";"Lecce";"totale";"80-84 anni";29363;30528
"3692";"Lecce";"totale";"85-89 anni";19277;19619
"3693";"Lecce";"totale";"90-94 anni";7938;8321
"3694";"Lecce";"totale";"95-99 anni";1805;1936
"3695";"Lecce";"totale";"fino a 4 anni";27755;26939
"3696";"Lecce";"totale";"totale";786408;782165
"3697";"Lecco";"femmine";"10-14 anni";8020;8032
"3698";"Lecco";"femmine";"100 anni e più";59;62
"3699";"Lecco";"femmine";"15-19 anni";8011;8030
"3700";"Lecco";"femmine";"20-24 anni";7755;7849
"3701";"Lecco";"femmine";"25-29 anni";8016;7916
"3702";"Lecco";"femmine";"30-34 anni";8285;8241
"3703";"Lecco";"femmine";"35-39 anni";9488;9172
"3704";"Lecco";"femmine";"40-44 anni";11879;11344
"3705";"Lecco";"femmine";"45-49 anni";13132;13088
"3706";"Lecco";"femmine";"5-9 anni";7598;7391
"3707";"Lecco";"femmine";"50-54 anni";13934;13900
"3708";"Lecco";"femmine";"55-59 anni";12338;12634
"3709";"Lecco";"femmine";"60-64 anni";10870;11144
"3710";"Lecco";"femmine";"65-69 anni";10553;10429
"3711";"Lecco";"femmine";"70-74 anni";9630;10010
"3712";"Lecco";"femmine";"75-79 anni";8649;8420
"3713";"Lecco";"femmine";"80-84 anni";7213;7529
"3714";"Lecco";"femmine";"85-89 anni";5048;5066
"3715";"Lecco";"femmine";"90-94 anni";2448;2568
"3716";"Lecco";"femmine";"95-99 anni";687;718
"3717";"Lecco";"femmine";"fino a 4 anni";6418;6189
"3718";"Lecco";"femmine";"totale";170031;169732
"3719";"Lecco";"maschi";"10-14 anni";8276;8451
"3720";"Lecco";"maschi";"100 anni e più";5;6
"3721";"Lecco";"maschi";"15-19 anni";8304;8221
"3722";"Lecco";"maschi";"20-24 anni";8766;8791
"3723";"Lecco";"maschi";"25-29 anni";8680;8584
"3724";"Lecco";"maschi";"30-34 anni";8710;8768
"3725";"Lecco";"maschi";"35-39 anni";9803;9502
"3726";"Lecco";"maschi";"40-44 anni";12397;11683
"3727";"Lecco";"maschi";"45-49 anni";13650;13505
"3728";"Lecco";"maschi";"5-9 anni";8048;7723
"3729";"Lecco";"maschi";"50-54 anni";14306;14216
"3730";"Lecco";"maschi";"55-59 anni";12261;12770
"3731";"Lecco";"maschi";"60-64 anni";10692;10926
"3732";"Lecco";"maschi";"65-69 anni";9906;9794
"3733";"Lecco";"maschi";"70-74 anni";8899;9266
"3734";"Lecco";"maschi";"75-79 anni";7264;7140
"3735";"Lecco";"maschi";"80-84 anni";5103;5443
"3736";"Lecco";"maschi";"85-89 anni";2667;2798
"3737";"Lecco";"maschi";"90-94 anni";892;938
"3738";"Lecco";"maschi";"95-99 anni";149;155
"3739";"Lecco";"maschi";"fino a 4 anni";6745;6549
"3740";"Lecco";"maschi";"totale";165523;165229
"3741";"Lecco";"totale";"10-14 anni";16296;16483
"3742";"Lecco";"totale";"100 anni e più";64;68
"3743";"Lecco";"totale";"15-19 anni";16315;16251
"3744";"Lecco";"totale";"20-24 anni";16521;16640
"3745";"Lecco";"totale";"25-29 anni";16696;16500
"3746";"Lecco";"totale";"30-34 anni";16995;17009
"3747";"Lecco";"totale";"35-39 anni";19291;18674
"3748";"Lecco";"totale";"40-44 anni";24276;23027
"3749";"Lecco";"totale";"45-49 anni";26782;26593
"3750";"Lecco";"totale";"5-9 anni";15646;15114
"3751";"Lecco";"totale";"50-54 anni";28240;28116
"3752";"Lecco";"totale";"55-59 anni";24599;25404
"3753";"Lecco";"totale";"60-64 anni";21562;22070
"3754";"Lecco";"totale";"65-69 anni";20459;20223
"3755";"Lecco";"totale";"70-74 anni";18529;19276
"3756";"Lecco";"totale";"75-79 anni";15913;15560
"3757";"Lecco";"totale";"80-84 anni";12316;12972
"3758";"Lecco";"totale";"85-89 anni";7715;7864
"3759";"Lecco";"totale";"90-94 anni";3340;3506
"3760";"Lecco";"totale";"95-99 anni";836;873
"3761";"Lecco";"totale";"fino a 4 anni";13163;12738
"3762";"Lecco";"totale";"totale";335554;334961
"3763";"Liguria";"femmine";"10-14 anni";30465;30632
"3764";"Liguria";"femmine";"100 anni e più";570;562
"3765";"Liguria";"femmine";"15-19 anni";30608;30913
"3766";"Liguria";"femmine";"20-24 anni";31323;31365
"3767";"Liguria";"femmine";"25-29 anni";34106;33706
"3768";"Liguria";"femmine";"30-34 anni";35168;35143
"3769";"Liguria";"femmine";"35-39 anni";38361;37446
"3770";"Liguria";"femmine";"40-44 anni";50519;47457
"3771";"Liguria";"femmine";"45-49 anni";61463;60237
"3772";"Liguria";"femmine";"5-9 anni";28433;27564
"3773";"Liguria";"femmine";"50-54 anni";66705;65941
"3774";"Liguria";"femmine";"55-59 anni";61433;63373
"3775";"Liguria";"femmine";"60-64 anni";54110;55218
"3776";"Liguria";"femmine";"65-69 anni";51505;50731
"3777";"Liguria";"femmine";"70-74 anni";53279;53874
"3778";"Liguria";"femmine";"75-79 anni";50468;48661
"3779";"Liguria";"femmine";"80-84 anni";44032;45187
"3780";"Liguria";"femmine";"85-89 anni";32170;31901
"3781";"Liguria";"femmine";"90-94 anni";16142;16637
"3782";"Liguria";"femmine";"95-99 anni";4770;4940
"3783";"Liguria";"femmine";"fino a 4 anni";23807;22967
"3784";"Liguria";"femmine";"totale";799437;794455
"3785";"Liguria";"maschi";"10-14 anni";32309;32252
"3786";"Liguria";"maschi";"100 anni e più";78;71
"3787";"Liguria";"maschi";"15-19 anni";33300;33123
"3788";"Liguria";"maschi";"20-24 anni";35202;35409
"3789";"Liguria";"maschi";"25-29 anni";36010;35843
"3790";"Liguria";"maschi";"30-34 anni";36742;36634
"3791";"Liguria";"maschi";"35-39 anni";38765;38379
"3792";"Liguria";"maschi";"40-44 anni";48956;45971
"3793";"Liguria";"maschi";"45-49 anni";59931;58705
"3794";"Liguria";"maschi";"5-9 anni";29737;29179
"3795";"Liguria";"maschi";"50-54 anni";64309;63314
"3796";"Liguria";"maschi";"55-59 anni";57791;60057
"3797";"Liguria";"maschi";"60-64 anni";50157;51216
"3798";"Liguria";"maschi";"65-69 anni";45742;45610
"3799";"Liguria";"maschi";"70-74 anni";45082;45553
"3800";"Liguria";"maschi";"75-79 anni";39118;37946
"3801";"Liguria";"maschi";"80-84 anni";30004;31112
"3802";"Liguria";"maschi";"85-89 anni";17335;17610
"3803";"Liguria";"maschi";"90-94 anni";6354;6705
"3804";"Liguria";"maschi";"95-99 anni";1198;1244
"3805";"Liguria";"maschi";"fino a 4 anni";25423;24438
"3806";"Liguria";"maschi";"totale";733543;730371
"3807";"Liguria";"totale";"10-14 anni";62774;62884
"3808";"Liguria";"totale";"100 anni e più";648;633
"3809";"Liguria";"totale";"15-19 anni";63908;64036
"3810";"Liguria";"totale";"20-24 anni";66525;66774
"3811";"Liguria";"totale";"25-29 anni";70116;69549
"3812";"Liguria";"totale";"30-34 anni";71910;71777
"3813";"Liguria";"totale";"35-39 anni";77126;75825
"3814";"Liguria";"totale";"40-44 anni";99475;93428
"3815";"Liguria";"totale";"45-49 anni";121394;118942
"3816";"Liguria";"totale";"5-9 anni";58170;56743
"3817";"Liguria";"totale";"50-54 anni";131014;129255
"3818";"Liguria";"totale";"55-59 anni";119224;123430
"3819";"Liguria";"totale";"60-64 anni";104267;106434
"3820";"Liguria";"totale";"65-69 anni";97247;96341
"3821";"Liguria";"totale";"70-74 anni";98361;99427
"3822";"Liguria";"totale";"75-79 anni";89586;86607
"3823";"Liguria";"totale";"80-84 anni";74036;76299
"3824";"Liguria";"totale";"85-89 anni";49505;49511
"3825";"Liguria";"totale";"90-94 anni";22496;23342
"3826";"Liguria";"totale";"95-99 anni";5968;6184
"3827";"Liguria";"totale";"fino a 4 anni";49230;47405
"3828";"Liguria";"totale";"totale";1532980;1524826
"3829";"Livorno";"femmine";"10-14 anni";6951;6994
"3830";"Livorno";"femmine";"100 anni e più";72;69
"3831";"Livorno";"femmine";"15-19 anni";6692;6858
"3832";"Livorno";"femmine";"20-24 anni";6721;6685
"3833";"Livorno";"femmine";"25-29 anni";7041;6981
"3834";"Livorno";"femmine";"30-34 anni";7889;7806
"3835";"Livorno";"femmine";"35-39 anni";9252;8855
"3836";"Livorno";"femmine";"40-44 anni";12044;11485
"3837";"Livorno";"femmine";"45-49 anni";13886;13823
"3838";"Livorno";"femmine";"5-9 anni";6607;6447
"3839";"Livorno";"femmine";"50-54 anni";14331;14194
"3840";"Livorno";"femmine";"55-59 anni";13009;13543
"3841";"Livorno";"femmine";"60-64 anni";11708;11802
"3842";"Livorno";"femmine";"65-69 anni";10719;10695
"3843";"Livorno";"femmine";"70-74 anni";11985;12108
"3844";"Livorno";"femmine";"75-79 anni";10092;9894
"3845";"Livorno";"femmine";"80-84 anni";8372;8722
"3846";"Livorno";"femmine";"85-89 anni";5774;5747
"3847";"Livorno";"femmine";"90-94 anni";2909;2952
"3848";"Livorno";"femmine";"95-99 anni";821;853
"3849";"Livorno";"femmine";"fino a 4 anni";5557;5361
"3850";"Livorno";"femmine";"totale";172432;171874
"3851";"Livorno";"maschi";"10-14 anni";7438;7440
"3852";"Livorno";"maschi";"100 anni e più";13;14
"3853";"Livorno";"maschi";"15-19 anni";7152;7264
"3854";"Livorno";"maschi";"20-24 anni";7431;7431
"3855";"Livorno";"maschi";"25-29 anni";7825;7707
"3856";"Livorno";"maschi";"30-34 anni";7917;7964
"3857";"Livorno";"maschi";"35-39 anni";9227;8858
"3858";"Livorno";"maschi";"40-44 anni";11907;11254
"3859";"Livorno";"maschi";"45-49 anni";13622;13598
"3860";"Livorno";"maschi";"5-9 anni";6938;6713
"3861";"Livorno";"maschi";"50-54 anni";13646;13532
"3862";"Livorno";"maschi";"55-59 anni";12189;12818
"3863";"Livorno";"maschi";"60-64 anni";10412;10677
"3864";"Livorno";"maschi";"65-69 anni";9694;9453
"3865";"Livorno";"maschi";"70-74 anni";10346;10483
"3866";"Livorno";"maschi";"75-79 anni";8111;8035
"3867";"Livorno";"maschi";"80-84 anni";6047;6373
"3868";"Livorno";"maschi";"85-89 anni";3294;3345
"3869";"Livorno";"maschi";"90-94 anni";1250;1297
"3870";"Livorno";"maschi";"95-99 anni";243;269
"3871";"Livorno";"maschi";"fino a 4 anni";5753;5478
"3872";"Livorno";"maschi";"totale";160455;160003
"3873";"Livorno";"totale";"10-14 anni";14389;14434
"3874";"Livorno";"totale";"100 anni e più";85;83
"3875";"Livorno";"totale";"15-19 anni";13844;14122
"3876";"Livorno";"totale";"20-24 anni";14152;14116
"3877";"Livorno";"totale";"25-29 anni";14866;14688
"3878";"Livorno";"totale";"30-34 anni";15806;15770
"3879";"Livorno";"totale";"35-39 anni";18479;17713
"3880";"Livorno";"totale";"40-44 anni";23951;22739
"3881";"Livorno";"totale";"45-49 anni";27508;27421
"3882";"Livorno";"totale";"5-9 anni";13545;13160
"3883";"Livorno";"totale";"50-54 anni";27977;27726
"3884";"Livorno";"totale";"55-59 anni";25198;26361
"3885";"Livorno";"totale";"60-64 anni";22120;22479
"3886";"Livorno";"totale";"65-69 anni";20413;20148
"3887";"Livorno";"totale";"70-74 anni";22331;22591
"3888";"Livorno";"totale";"75-79 anni";18203;17929
"3889";"Livorno";"totale";"80-84 anni";14419;15095
"3890";"Livorno";"totale";"85-89 anni";9068;9092
"3891";"Livorno";"totale";"90-94 anni";4159;4249
"3892";"Livorno";"totale";"95-99 anni";1064;1122
"3893";"Livorno";"totale";"fino a 4 anni";11310;10839
"3894";"Livorno";"totale";"totale";332887;331877
"3895";"Lodi";"femmine";"10-14 anni";5361;5386
"3896";"Lodi";"femmine";"100 anni e più";22;27
"3897";"Lodi";"femmine";"15-19 anni";5145;5256
"3898";"Lodi";"femmine";"20-24 anni";5173;5199
"3899";"Lodi";"femmine";"25-29 anni";5635;5639
"3900";"Lodi";"femmine";"30-34 anni";6267;6204
"3901";"Lodi";"femmine";"35-39 anni";7090;6951
"3902";"Lodi";"femmine";"40-44 anni";8661;8282
"3903";"Lodi";"femmine";"45-49 anni";9221;9155
"3904";"Lodi";"femmine";"5-9 anni";5226;5128
"3905";"Lodi";"femmine";"50-54 anni";9438;9621
"3906";"Lodi";"femmine";"55-59 anni";8132;8382
"3907";"Lodi";"femmine";"60-64 anni";7246;7343
"3908";"Lodi";"femmine";"65-69 anni";6518;6554
"3909";"Lodi";"femmine";"70-74 anni";6081;6358
"3910";"Lodi";"femmine";"75-79 anni";5498;5313
"3911";"Lodi";"femmine";"80-84 anni";4604;4778
"3912";"Lodi";"femmine";"85-89 anni";3023;3039
"3913";"Lodi";"femmine";"90-94 anni";1423;1479
"3914";"Lodi";"femmine";"95-99 anni";395;422
"3915";"Lodi";"femmine";"fino a 4 anni";4721;4565
"3916";"Lodi";"femmine";"totale";114880;115081
"3917";"Lodi";"maschi";"10-14 anni";5720;5874
"3918";"Lodi";"maschi";"100 anni e più";8;8
"3919";"Lodi";"maschi";"15-19 anni";5395;5431
"3920";"Lodi";"maschi";"20-24 anni";5606;5638
"3921";"Lodi";"maschi";"25-29 anni";5889;5812
"3922";"Lodi";"maschi";"30-34 anni";6414;6420
"3923";"Lodi";"maschi";"35-39 anni";7415;7187
"3924";"Lodi";"maschi";"40-44 anni";8900;8544
"3925";"Lodi";"maschi";"45-49 anni";9760;9761
"3926";"Lodi";"maschi";"5-9 anni";5618;5479
"3927";"Lodi";"maschi";"50-54 anni";9987;9994
"3928";"Lodi";"maschi";"55-59 anni";8259;8561
"3929";"Lodi";"maschi";"60-64 anni";6895;7131
"3930";"Lodi";"maschi";"65-69 anni";6324;6273
"3931";"Lodi";"maschi";"70-74 anni";5619;5896
"3932";"Lodi";"maschi";"75-79 anni";4334;4265
"3933";"Lodi";"maschi";"80-84 anni";3006;3187
"3934";"Lodi";"maschi";"85-89 anni";1472;1539
"3935";"Lodi";"maschi";"90-94 anni";471;498
"3936";"Lodi";"maschi";"95-99 anni";75;77
"3937";"Lodi";"maschi";"fino a 4 anni";4902;4756
"3938";"Lodi";"maschi";"totale";112069;112331
"3939";"Lodi";"totale";"10-14 anni";11081;11260
"3940";"Lodi";"totale";"100 anni e più";30;35
"3941";"Lodi";"totale";"15-19 anni";10540;10687
"3942";"Lodi";"totale";"20-24 anni";10779;10837
"3943";"Lodi";"totale";"25-29 anni";11524;11451
"3944";"Lodi";"totale";"30-34 anni";12681;12624
"3945";"Lodi";"totale";"35-39 anni";14505;14138
"3946";"Lodi";"totale";"40-44 anni";17561;16826
"3947";"Lodi";"totale";"45-49 anni";18981;18916
"3948";"Lodi";"totale";"5-9 anni";10844;10607
"3949";"Lodi";"totale";"50-54 anni";19425;19615
"3950";"Lodi";"totale";"55-59 anni";16391;16943
"3951";"Lodi";"totale";"60-64 anni";14141;14474
"3952";"Lodi";"totale";"65-69 anni";12842;12827
"3953";"Lodi";"totale";"70-74 anni";11700;12254
"3954";"Lodi";"totale";"75-79 anni";9832;9578
"3955";"Lodi";"totale";"80-84 anni";7610;7965
"3956";"Lodi";"totale";"85-89 anni";4495;4578
"3957";"Lodi";"totale";"90-94 anni";1894;1977
"3958";"Lodi";"totale";"95-99 anni";470;499
"3959";"Lodi";"totale";"fino a 4 anni";9623;9321
"3960";"Lodi";"totale";"totale";226949;227412
"3961";"Lombardia";"femmine";"10-14 anni";235386;236673
"3962";"Lombardia";"femmine";"100 anni e più";1946;2070
"3963";"Lombardia";"femmine";"15-19 anni";225664;228595
"3964";"Lombardia";"femmine";"20-24 anni";224532;227640
"3965";"Lombardia";"femmine";"25-29 anni";246983;247445
"3966";"Lombardia";"femmine";"30-34 anni";272311;272210
"3967";"Lombardia";"femmine";"35-39 anni";308478;302945
"3968";"Lombardia";"femmine";"40-44 anni";371721;356086
"3969";"Lombardia";"femmine";"45-49 anni";408255;406011
"3970";"Lombardia";"femmine";"5-9 anni";227367;222373
"3971";"Lombardia";"femmine";"50-54 anni";417081;417132
"3972";"Lombardia";"femmine";"55-59 anni";365413;379267
"3973";"Lombardia";"femmine";"60-64 anni";315643;322903
"3974";"Lombardia";"femmine";"65-69 anni";296208;294098
"3975";"Lombardia";"femmine";"70-74 anni";282959;291189
"3976";"Lombardia";"femmine";"75-79 anni";257655;249927
"3977";"Lombardia";"femmine";"80-84 anni";214870;222459
"3978";"Lombardia";"femmine";"85-89 anni";147031;149431
"3979";"Lombardia";"femmine";"90-94 anni";71147;73399
"3980";"Lombardia";"femmine";"95-99 anni";19751;20910
"3981";"Lombardia";"femmine";"fino a 4 anni";198231;192464
"3982";"Lombardia";"femmine";"totale";5108632;5115227
"3983";"Lombardia";"maschi";"10-14 anni";249718;251992
"3984";"Lombardia";"maschi";"100 anni e più";250;248
"3985";"Lombardia";"maschi";"15-19 anni";243719;245417
"3986";"Lombardia";"maschi";"20-24 anni";248087;251596
"3987";"Lombardia";"maschi";"25-29 anni";258430;259478
"3988";"Lombardia";"maschi";"30-34 anni";280011;279219
"3989";"Lombardia";"maschi";"35-39 anni";315129;309825
"3990";"Lombardia";"maschi";"40-44 anni";382581;365647
"3991";"Lombardia";"maschi";"45-49 anni";419381;417329
"3992";"Lombardia";"maschi";"5-9 anni";242023;236476
"3993";"Lombardia";"maschi";"50-54 anni";423267;423040
"3994";"Lombardia";"maschi";"55-59 anni";355857;372670
"3995";"Lombardia";"maschi";"60-64 anni";297035;304229
"3996";"Lombardia";"maschi";"65-69 anni";269615;267888
"3997";"Lombardia";"maschi";"70-74 anni";246988;255139
"3998";"Lombardia";"maschi";"75-79 anni";205740;199954
"3999";"Lombardia";"maschi";"80-84 anni";148582;157196
"4000";"Lombardia";"maschi";"85-89 anni";76867;80391
"4001";"Lombardia";"maschi";"90-94 anni";25000;26784
"4002";"Lombardia";"maschi";"95-99 anni";4500;4752
"4003";"Lombardia";"maschi";"fino a 4 anni";209421;203105
"4004";"Lombardia";"maschi";"totale";4902201;4912375
"4005";"Lombardia";"totale";"10-14 anni";485104;488665
"4006";"Lombardia";"totale";"100 anni e più";2196;2318
"4007";"Lombardia";"totale";"15-19 anni";469383;474012
"4008";"Lombardia";"totale";"20-24 anni";472619;479236
"4009";"Lombardia";"totale";"25-29 anni";505413;506923
"4010";"Lombardia";"totale";"30-34 anni";552322;551429
"4011";"Lombardia";"totale";"35-39 anni";623607;612770
"4012";"Lombardia";"totale";"40-44 anni";754302;721733
"4013";"Lombardia";"totale";"45-49 anni";827636;823340
"4014";"Lombardia";"totale";"5-9 anni";469390;458849
"4015";"Lombardia";"totale";"50-54 anni";840348;840172
"4016";"Lombardia";"totale";"55-59 anni";721270;751937
"4017";"Lombardia";"totale";"60-64 anni";612678;627132
"4018";"Lombardia";"totale";"65-69 anni";565823;561986
"4019";"Lombardia";"totale";"70-74 anni";529947;546328
"4020";"Lombardia";"totale";"75-79 anni";463395;449881
"4021";"Lombardia";"totale";"80-84 anni";363452;379655
"4022";"Lombardia";"totale";"85-89 anni";223898;229822
"4023";"Lombardia";"totale";"90-94 anni";96147;100183
"4024";"Lombardia";"totale";"95-99 anni";24251;25662
"4025";"Lombardia";"totale";"fino a 4 anni";407652;395569
"4026";"Lombardia";"totale";"totale";10010833;10027602
"4027";"Lucca";"femmine";"10-14 anni";8304;8215
"4028";"Lucca";"femmine";"100 anni e più";88;98
"4029";"Lucca";"femmine";"15-19 anni";7932;8035
"4030";"Lucca";"femmine";"20-24 anni";8054;8022
"4031";"Lucca";"femmine";"25-29 anni";8673;8665
"4032";"Lucca";"femmine";"30-34 anni";9379;9209
"4033";"Lucca";"femmine";"35-39 anni";10973;10642
"4034";"Lucca";"femmine";"40-44 anni";14045;13442
"4035";"Lucca";"femmine";"45-49 anni";16071;15881
"4036";"Lucca";"femmine";"5-9 anni";7669;7599
"4037";"Lucca";"femmine";"50-54 anni";16821;16694
"4038";"Lucca";"femmine";"55-59 anni";15095;15688
"4039";"Lucca";"femmine";"60-64 anni";13078;13393
"4040";"Lucca";"femmine";"65-69 anni";12292;12330
"4041";"Lucca";"femmine";"70-74 anni";12441;12580
"4042";"Lucca";"femmine";"75-79 anni";10993;10781
"4043";"Lucca";"femmine";"80-84 anni";9162;9411
